id,query,shortest_step,label_ut,label_ky,label_wa,label_ko,label_me
0,東京大学,0,True,False,False,False,False
1,京都大学,0,False,True,False,False,False
2,早稲田大学,0,False,False,True,False,False
3,慶應義塾大学,0,False,False,False,True,False
4,明治大学,0,False,False,False,False,True
5,登録,3,False,False,False,False,True
6,イベント,3,False,False,False,True,False
7,of,2,False,True,False,False,False
8,会,2,False,False,True,False,False
9,',3,False,False,True,False,False
10,きっぷ,3,False,True,False,False,False
11,確認,3,False,False,False,False,True
12,更生,3,True,False,False,False,False
13,回答,3,False,False,False,False,True
14,掲載,3,True,False,False,False,False
15,in,2,False,True,False,False,False
16,サ,3,False,False,True,False,False
17,アカデミー,2,False,False,True,False,False
18,在,2,False,False,False,True,False
19,ポイント,3,False,False,False,False,True
20,技術,2,False,True,False,False,False
21,研究,1,False,True,False,False,False
22,保護,2,True,False,False,False,False
23,天気,2,False,True,False,False,False
24,診療,3,True,False,False,False,False
25,オープン,2,True,False,False,False,False
26,案内,1,False,False,False,False,True
27,定額,3,False,False,True,False,False
28,事務所,3,True,False,False,False,False
29,活動,3,False,True,False,False,False
30,早稲田,1,False,False,True,False,False
31,物件,1,False,True,False,False,False
32,曜日,2,True,False,False,False,False
33,ネット,3,False,True,False,False,False
34,学校,3,False,False,True,False,False
35,専門,3,False,False,False,True,False
36,店舗,4,False,True,False,False,False
37,問い合わせ,2,False,False,False,False,True
38,コース,3,False,False,True,False,False
39,修理,3,True,False,False,False,False
40,アリーナ,4,False,False,False,True,False
41,パスワード,3,False,False,True,False,False
42,当社,3,True,False,False,False,False
43,株式,3,True,False,False,False,False
44,会員,2,False,False,True,False,False
45,名所,3,False,True,False,False,False
46,くじ,3,False,False,False,False,True
47,大会,3,False,False,True,False,False
48,証明,3,False,False,True,False,False
49,チェック,3,False,True,False,False,False
50,時刻,2,False,False,False,False,True
51,日,3,False,False,False,True,False
52,ログイン,3,False,False,False,False,True
53,図書館,3,False,False,True,False,False
54,資源,3,True,False,False,False,False
55,一覧,3,False,False,False,False,True
56,卒業生,2,False,False,True,False,False
57,?,3,False,False,True,False,False
58,地球,3,False,True,False,False,False
59,校友,1,False,False,True,False,False
60,番号,2,False,False,True,False,False
61,紹介,3,False,False,False,True,False
62,学術,3,False,False,True,False,False
63,アセットマネジメント,3,True,False,False,False,False
64,年金,3,True,False,False,False,False
65,Q,3,False,False,False,False,True
66,ウォーカープラス,2,False,False,False,True,False
67,利用,2,False,False,False,False,True
68,横浜,5,False,False,False,True,False
69,アパート,3,False,False,True,False,False
70,模試,2,False,False,True,False,False
71,JR,3,False,True,False,False,False
72,サービス,2,False,False,False,False,True
73,事業,3,True,False,False,False,False
74,地域,3,False,False,True,False,False
75,生活,2,True,False,False,False,False
76,基本,3,True,False,False,False,False
77,公衆,3,False,False,True,False,False
78,ニュース,3,False,False,False,True,False
79,降水,3,False,True,False,False,False
80,部屋,2,False,True,False,False,False
81,ID,3,False,False,True,False,False
82,対策,3,False,True,False,False,False
83,€,3,False,False,True,False,False
84,平成,3,False,False,True,False,False
85,学会,2,False,False,True,False,False
86,センター,2,True,False,False,False,False
87,府,2,False,True,False,False,False
88,校舎,2,False,False,True,False,False
89,発信,1,False,False,True,False,False
90,駅,2,False,True,False,False,False
91,サポート,1,False,False,False,False,True
92,学生,1,False,False,False,True,False
93,出版,4,False,True,False,False,False
94,Mission,1,False,True,False,False,False
95,検索,3,False,True,False,False,False
96,価格,3,False,False,False,False,True
97,運営,3,True,False,False,False,False
98,大学,2,False,False,False,True,False
99,質問,2,False,False,False,False,True
100,to,2,False,True,False,False,False
101,診察,3,True,False,False,False,False
102,口コミ,3,False,True,False,False,False
103,日程,3,False,False,False,True,False
104,～,3,True,False,False,False,False
105,受験,3,False,False,True,False,False
106,ƒ,3,False,False,True,False,False
107,学部,1,False,False,False,True,False
108,四谷,3,False,False,True,False,False
109,規約,3,False,False,False,False,True
110,大阪,3,False,True,False,False,False
111,卒業,3,False,False,True,False,False
112,不動産,2,False,False,True,False,False
113,保全,3,False,True,False,False,False
114,賃貸,2,False,False,True,False,False
115,ポータルサイト,2,True,False,False,False,False
116,企業,3,False,False,True,False,False
117,情報,1,False,False,True,False,False
118,ライフ,1,True,False,False,False,False
119,円,3,False,False,True,False,False
120,路線,3,False,True,False,False,False
121,??,3,False,False,True,False,False
122,大分,3,False,False,False,True,False
123,会社,3,True,False,False,False,False
124,製品,2,False,False,False,False,True
125,京都,1,False,True,False,False,False
126,宝くじ,2,False,False,False,False,True
127,バス,2,False,False,False,False,True
128,選手,3,False,False,False,True,False
129,観光,2,False,True,False,False,False
130,the,2,False,True,False,False,False
131,登記,3,True,False,False,False,False
132,財団,3,False,True,False,False,False
133,開催,3,False,False,True,False,False
134,ア,3,False,False,True,False,False
135,経営,3,True,False,False,False,False
136,学科,2,False,False,False,True,False
137,生活協同組合,1,True,False,False,False,False
138,社会,3,False,True,False,False,False
139,ナンバーズ,3,False,False,False,False,True
140,チケット,3,False,False,False,True,False
141,書名,4,False,True,False,False,False
142,au,3,False,False,True,False,False
143,施政,3,True,False,False,False,False
144,ロト,3,False,False,False,False,True
145,行政,3,True,False,False,False,False
146,マンション,3,False,True,False,False,False
147,試合,2,False,False,False,True,False
148,おの,3,False,False,False,False,True
149,支援,3,True,False,False,False,False
150,大塚,3,False,False,True,False,False
151,ごみ,3,True,False,False,False,False
152,CHINTAI,3,False,False,True,False,False
153,–,3,False,False,True,False,False
154,カード,3,False,False,False,False,True
155,スポット,3,False,True,False,False,False
156,おすすめ,3,False,False,False,True,False
157,教室,3,False,False,True,False,False
158,お客,3,True,False,False,False,False
159,方針,2,True,False,False,False,False
160,大学院,2,False,False,False,True,False
161,中古,3,False,False,True,False,False
162,法人,3,True,False,False,False,False
163,キャンパス,1,True,False,False,False,False
164,定款,2,True,False,False,False,False
165,商品,3,False,False,False,False,True
166,教育,2,False,False,False,True,False
167,and,2,False,True,False,False,False
168,福祉,3,False,False,False,True,False
169,‚,3,False,False,True,False,False
170,NTT,3,False,False,True,False,False
171,š,3,False,False,True,False,False
172,収集,3,True,False,False,False,False
173,住宅,2,False,False,True,False,False
174,環境,2,False,True,False,False,False
175,ジャンボ,3,False,False,False,False,True
176,三つ,1,False,True,False,False,False
177,個人,2,True,False,False,False,False
178,機器,3,False,False,False,False,True
179,予報,3,False,True,False,False,False
180,内容,3,False,False,False,False,True
181,消費,1,True,False,False,False,False
182,魅力,2,False,False,True,False,False
183,日本,3,False,False,False,True,False
184,科学,2,False,True,False,False,False
185,システム,3,True,False,False,False,False
186,気温,3,False,True,False,False,False
187,スポーツ,5,False,False,False,True,False
188,当せん,3,False,False,False,False,True
189,予約,3,True,False,False,False,False
190,気象,3,False,True,False,False,False
191,開発,2,False,True,False,False,False
192,郵便,3,False,False,True,False,False
193,国民,3,True,False,False,False,False
194,条件,4,False,True,False,False,False
195,電話,2,False,False,True,False,False
196,協会,3,False,False,True,False,False
197,月,1,False,False,False,True,False
198,変更,3,True,False,False,False,False
199,概要,3,True,False,False,False,False
200,設置,2,False,False,True,False,False
201,受付,2,True,False,False,False,False
202,支部,2,False,False,True,False,False
203,相談,2,True,False,False,False,False
204,施設,3,True,False,False,False,False
